clusters	cut	ortho	annotation	Atid
TR26168|c5_g2	4	0	Protein kinase superfamily protein	AT1G25390
TR100330|c0_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR41147|c0_g1	6	0	Protein kinase superfamily protein	AT1G25390
TR67720|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR50347|c0_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR47663|c1_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR51262|c0_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR48050|c0_g2	2	0	Protein kinase superfamily protein	AT1G25390
TR75052|c0_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR54980|c0_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR33223|c0_g3	5	0	Protein kinase superfamily protein	AT1G25390
TR51296|c0_g2	5	0	Protein kinase superfamily protein	AT1G25390
TR27410|c0_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR33223|c1_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR50751|c0_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR50610|c0_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR89386|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR57390|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR63243|c2_g2	5	0	Protein kinase superfamily protein	AT1G25390
TR32232|c0_g2	5	0	Protein kinase superfamily protein	AT1G25390
TR34223|c1_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR93456|c0_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR48050|c0_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR24172|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR59528|c0_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR38514|c0_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR33223|c2_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR30130|c0_g1	1	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR81467|c1_g1	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR15289|c0_g1	1	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR87517|c3_g2	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR52212|c0_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR45509|c1_g1	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR93676|c0_g1	4	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR94994|c5_g3	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR96804|c0_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR87473|c1_g1	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR24696|c0_g1	6	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR95027|c1_g3	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR98206|c0_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR34225|c1_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR10896|c0_g1	1	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR69220|c0_g3	1	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR39948|c1_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR39113|c0_g2	5	2	myb domain protein 97	AT4G26930
TR32058|c0_g1	4	2	myb domain protein 97	AT4G26930
TR81092|c0_g3	6	2	myb domain protein 97	AT4G26930
TR43426|c0_g1	4	2	myb domain protein 97	AT4G26930
TR40811|c0_g1	2	2	myb domain protein 97	AT4G26930
TR27083|c0_g1	2	2	myb domain protein 97	AT4G26930
TR41440|c0_g1	6	2	myb domain protein 97	AT4G26930
TR1863|c0_g1	2	2	myb domain protein 97	AT4G26930
TR74298|c0_g1	2	2	myb domain protein 97	AT4G26930
TR67052|c0_g1	2	2	myb domain protein 97	AT4G26930
TR83777|c0_g1	5	2	myb domain protein 97	AT4G26930
TR72954|c0_g2	1	2	myb domain protein 97	AT4G26930
TR28884|c0_g1	5	2	myb domain protein 97	AT4G26930
TR58993|c0_g1	1	2	myb domain protein 97	AT4G26930
TR30751|c2_g1	2	2	myb domain protein 97	AT4G26930
TR34047|c0_g1	4	2	myb domain protein 97	AT4G26930
TR48232|c0_g1	5	2	myb domain protein 97	AT4G26930
TR53799|c0_g1	6	2	myb domain protein 97	AT4G26930
TR67516|c0_g1	5	2	myb domain protein 97	AT4G26930
TR59319|c0_g1	4	2	myb domain protein 97	AT4G26930
TR85252|c0_g1	2	2	myb domain protein 97	AT4G26930
TR23973|c0_g1	5	2	myb domain protein 97	AT4G26930
TR31748|c4_g6	4	2	myb domain protein 97	AT4G26930
TR76451|c0_g1	3	2	myb domain protein 97	AT4G26930
TR81092|c0_g2	2	2	myb domain protein 97	AT4G26930
TR46857|c2_g4	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR46857|c2_g5	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR32704|c4_g3	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR52190|c2_g3	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR54023|c1_g1	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR89156|c0_g1	2	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR80381|c1_g1	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR95067|c0_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR43632|c0_g2	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR93104|c0_g1	2	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR73808|c0_g1	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR34606|c0_g1	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR53161|c0_g1	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR42679|c0_g1	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR63701|c1_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR99985|c0_g1	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR1511|c0_g1	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR91590|c0_g1	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR92716|c0_g1	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR86598|c0_g1	5	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR89282|c0_g1	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR59881|c0_g2	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR42034|c0_g1	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR23971|c0_g1	2	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR96861|c2_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR71165|c0_g1	5	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR71712|c0_g1	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR80381|c2_g2	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR80375|c0_g1	5	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR58016|c1_g1	5	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR80381|c2_g1	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR93029|c3_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR38285|c0_g2	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR46857|c2_g3	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR69629|c7_g2	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR96090|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR99869|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR81646|c0_g1	1	4	mitochondrial editing factor  22	AT3G12770
TR89686|c2_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR74205|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR61226|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR66100|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR93093|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR83693|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR39931|c1_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR53257|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR82926|c4_g6	1	4	mitochondrial editing factor  22	AT3G12770
TR93873|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR100878|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR69571|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR54958|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR1981|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR97569|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR79455|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR31381|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR45524|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR77256|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR99841|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR39938|c1_g3	4	4	mitochondrial editing factor  22	AT3G12770
TR24060|c0_g6	5	4	mitochondrial editing factor  22	AT3G12770
TR38150|c1_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR81284|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR37721|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR83303|c1_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR46163|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR22168|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR19774|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR96231|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR49452|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR94467|c1_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR81646|c0_g2	4	4	mitochondrial editing factor  22	AT3G12770
TR88614|c1_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR92912|c1_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR23797|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR61326|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR39938|c1_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR59631|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR38150|c2_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR77229|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR50421|c1_g1	1	4	mitochondrial editing factor  22	AT3G12770
TR74565|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR39072|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR93042|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR33167|c2_g2	4	4	mitochondrial editing factor  22	AT3G12770
TR39088|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR39938|c1_g2	1	4	mitochondrial editing factor  22	AT3G12770
TR30080|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR32660|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR77092|c0_g2	4	4	mitochondrial editing factor  22	AT3G12770
TR53171|c2_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR76268|c2_g2	2	4	mitochondrial editing factor  22	AT3G12770
TR27704|c0_g2	1	4	mitochondrial editing factor  22	AT3G12770
TR84318|c6_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR13357|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR32410|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR62762|c1_g2	6	4	mitochondrial editing factor  22	AT3G12770
TR47750|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR71886|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR68609|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR82005|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR73070|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR62104|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR38156|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR101248|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR36274|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR26720|c0_g11	5	4	mitochondrial editing factor  22	AT3G12770
TR89192|c5_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR70450|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR56198|c1_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR87482|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR58445|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR48421|c0_g2	4	4	mitochondrial editing factor  22	AT3G12770
TR77081|c1_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR58774|c3_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR25957|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR83384|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR19750|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR51201|c1_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR67937|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR63637|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR24167|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR100903|c3_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR33143|c3_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR59545|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR88705|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR63277|c4_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR41428|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR52758|c5_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR96097|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR45529|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR51201|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR43562|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR89252|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR77004|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR91788|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR62685|c5_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR33928|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR66197|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR50748|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR56244|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR82193|c0_g1	1	4	mitochondrial editing factor  22	AT3G12770
TR77092|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR59004|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR29328|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR26720|c0_g13	5	4	mitochondrial editing factor  22	AT3G12770
TR87873|c4_g2	5	5	Protein kinase superfamily protein	AT4G21366
TR36122|c1_g1	5	5	Protein kinase superfamily protein	AT4G21366
TR90504|c0_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR85273|c0_g2	5	5	Protein kinase superfamily protein	AT4G21366
TR48724|c1_g1	4	5	Protein kinase superfamily protein	AT4G21366
TR67471|c0_g1	3	5	Protein kinase superfamily protein	AT4G21366
TR80392|c2_g2	3	5	Protein kinase superfamily protein	AT4G21366
TR46193|c0_g1	1	5	Protein kinase superfamily protein	AT4G21366
TR80432|c1_g1	3	5	Protein kinase superfamily protein	AT4G21366
TR100160|c0_g1	6	5	Protein kinase superfamily protein	AT4G21366
TR68227|c0_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR82365|c0_g1	5	5	Protein kinase superfamily protein	AT4G21366
TR27580|c0_g1	1	5	Protein kinase superfamily protein	AT4G21366
TR57267|c0_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR34353|c0_g2	5	5	Protein kinase superfamily protein	AT4G21366
TR80392|c2_g3	3	5	Protein kinase superfamily protein	AT4G21366
TR87873|c2_g1	3	5	Protein kinase superfamily protein	AT4G21366
TR21713|c0_g1	1	5	Protein kinase superfamily protein	AT4G21366
TR87873|c4_g3	5	5	Protein kinase superfamily protein	AT4G21366
TR90312|c0_g2	5	5	Protein kinase superfamily protein	AT4G21366
TR87873|c4_g1	5	5	Protein kinase superfamily protein	AT4G21366
TR80405|c0_g1	3	5	Protein kinase superfamily protein	AT4G21366
TR89321|c0_g1	5	5	Protein kinase superfamily protein	AT4G21366
TR36122|c1_g2	6	5	Protein kinase superfamily protein	AT4G21366
TR76478|c0_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR51164|c1_g1	5	5	Protein kinase superfamily protein	AT4G21366
TR30700|c0_g2	4	6	xylem serine peptidase 1	AT4G00230
TR7988|c0_g1	1	6	xylem serine peptidase 1	AT4G00230
TR42597|c0_g1	2	6	xylem serine peptidase 1	AT4G00230
TR53552|c0_g2	3	6	xylem serine peptidase 1	AT4G00230
TR57224|c0_g2	2	6	xylem serine peptidase 1	AT4G00230
TR31228|c0_g1	4	6	xylem serine peptidase 1	AT4G00230
TR52748|c0_g1	5	6	xylem serine peptidase 1	AT4G00230
TR46855|c1_g2	6	6	xylem serine peptidase 1	AT4G00230
TR58774|c11_g1	2	6	xylem serine peptidase 1	AT4G00230
TR41416|c0_g1	1	6	xylem serine peptidase 1	AT4G00230
TR3341|c0_g1	1	6	xylem serine peptidase 1	AT4G00230
TR82930|c0_g1	4	6	xylem serine peptidase 1	AT4G00230
TR82930|c0_g2	4	6	xylem serine peptidase 1	AT4G00230
TR31545|c0_g1	4	6	xylem serine peptidase 1	AT4G00230
TR39387|c0_g1	6	6	xylem serine peptidase 1	AT4G00230
TR48839|c0_g1	3	6	xylem serine peptidase 1	AT4G00230
TR100107|c0_g1	6	7	Major facilitator superfamily protein	AT5G62730
TR87537|c1_g2	2	7	Major facilitator superfamily protein	AT5G62730
TR39921|c5_g1	5	7	Major facilitator superfamily protein	AT5G62730
TR87869|c3_g1	3	7	Major facilitator superfamily protein	AT5G62730
TR45834|c0_g1	6	7	Major facilitator superfamily protein	AT5G62730
TR66070|c1_g1	2	7	Major facilitator superfamily protein	AT5G62730
TR34149|c0_g1	5	7	Major facilitator superfamily protein	AT5G62730
TR98495|c0_g1	3	7	Major facilitator superfamily protein	AT5G62730
TR96474|c0_g1	1	7	Major facilitator superfamily protein	AT5G62730
TR53220|c1_g1	6	7	Major facilitator superfamily protein	AT5G62730
TR56165|c0_g1	5	7	Major facilitator superfamily protein	AT5G62730
TR79626|c0_g1	5	7	Major facilitator superfamily protein	AT5G62730
TR84294|c1_g1	3	7	Major facilitator superfamily protein	AT5G62730
TR83765|c0_g1	6	7	Major facilitator superfamily protein	AT5G62730
TR53180|c1_g1	4	7	Major facilitator superfamily protein	AT5G62730
TR89443|c0_g1	4	7	Major facilitator superfamily protein	AT5G62730
TR100139|c0_g1	4	7	Major facilitator superfamily protein	AT5G62730
TR61971|c0_g1	4	8	#N/A	#N/A
TR80681|c0_g1	4	9	NB-ARC domain-containing disease resistance protein	AT1G50180
TR36308|c8_g1	4	9	NB-ARC domain-containing disease resistance protein	AT1G50180
TR44792|c0_g1	2	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR34736|c0_g1	1	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR70637|c0_g1	2	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR77669|c0_g1	1	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR86559|c0_g1	4	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR53433|c0_g2	3	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR4538|c0_g1	5	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR96803|c2_g2	1	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR96862|c1_g1	2	11	0	AT3G43480
TR100664|c0_g1	6	11	0	AT3G43480
TR68368|c0_g1	5	11	0	AT3G43480
TR43166|c0_g1	4	11	0	AT3G43480
TR46417|c2_g2	2	11	0	AT3G43480
TR78762|c0_g1	3	11	0	AT3G43480
TR20395|c0_g1	2	11	0	AT3G43480
TR67004|c1_g1	1	11	0	AT3G43480
TR62957|c0_g1	2	11	0	AT3G43480
TR60873|c0_g1	4	11	0	AT3G43480
TR59095|c0_g1	3	11	0	AT3G43480
TR34108|c0_g1	4	11	0	AT3G43480
TR13222|c0_g1	6	11	0	AT3G43480
TR29787|c0_g1	6	11	0	AT3G43480
TR3760|c0_g1	1	11	0	AT3G43480
TR84478|c0_g1	6	11	0	AT3G43480
TR4890|c0_g1	3	11	0	AT3G43480
TR77459|c0_g1	3	11	0	AT3G43480
TR59791|c0_g1	3	11	0	AT3G43480
TR62521|c0_g1	5	11	0	AT3G43480
TR38291|c0_g1	6	11	0	AT3G43480
TR34037|c0_g1	2	11	0	AT3G43480
TR56383|c0_g1	2	11	0	AT3G43480
TR31351|c0_g1	6	11	0	AT3G43480
TR68122|c0_g1	6	11	0	AT3G43480
TR22927|c0_g2	1	11	0	AT3G43480
TR24505|c0_g1	4	11	0	AT3G43480
TR74181|c0_g1	5	11	0	AT3G43480
TR77009|c0_g1	2	11	0	AT3G43480
TR43707|c0_g1	2	11	0	AT3G43480
TR49896|c0_g1	3	11	0	AT3G43480
TR25988|c0_g1	3	11	0	AT3G43480
TR67126|c0_g1	6	11	0	AT3G43480
TR3448|c0_g1	4	11	0	AT3G43480
TR86882|c0_g1	5	11	0	AT3G43480
TR19680|c0_g1	2	11	0	AT3G43480
TR71950|c0_g1	2	11	0	AT3G43480
TR46878|c2_g7	3	11	0	AT3G43480
TR83373|c0_g1	1	11	0	AT3G43480
TR36058|c1_g1	5	11	0	AT3G43480
TR24661|c2_g1	6	11	0	AT3G43480
TR8953|c0_g1	2	11	0	AT3G43480
TR53969|c3_g4	1	11	0	AT3G43480
TR84309|c0_g1	2	11	0	AT3G43480
TR39023|c2_g1	1	12	wall associated kinase-like 2	AT1G16130
TR26189|c3_g1	1	12	wall associated kinase-like 2	AT1G16130
TR53838|c0_g1	4	12	wall associated kinase-like 2	AT1G16130
TR76413|c0_g2	4	12	wall associated kinase-like 2	AT1G16130
TR26189|c6_g1	4	12	wall associated kinase-like 2	AT1G16130
TR53838|c0_g2	4	12	wall associated kinase-like 2	AT1G16130
TR87871|c0_g1	2	12	wall associated kinase-like 2	AT1G16130
TR83507|c1_g1	3	12	wall associated kinase-like 2	AT1G16130
TR19309|c0_g1	6	14	NB-ARC domain-containing disease resistance protein	AT3G14470
TR46914|c1_g2	1	14	NB-ARC domain-containing disease resistance protein	AT3G14470
TR63255|c1_g1	4	14	NB-ARC domain-containing disease resistance protein	AT3G14470
TR77890|c0_g1	2	14	NB-ARC domain-containing disease resistance protein	AT3G14470
TR53446|c0_g1	2	15	receptor like protein 46	AT4G04220
TR96791|c2_g3	6	17	5'-AMP-activated protein kinase-related	AT5G03420
TR96791|c2_g1	4	17	5'-AMP-activated protein kinase-related	AT5G03420
TR34705|c0_g1	2	18	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	AT2G17970
TR54983|c0_g1	1	18	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	AT2G17970
TR34621|c0_g1	1	18	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	AT2G17970
TR56948|c0_g1	6	18	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	AT2G17970
TR81594|c0_g1	2	18	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	AT2G17970
TR67429|c1_g1	6	20	GAG/POL/ENV polyprotein	AT1G42190
TR77042|c0_g1	3	20	GAG/POL/ENV polyprotein	AT1G42190
TR5109|c0_g1	6	20	GAG/POL/ENV polyprotein	AT1G42190
TR27877|c0_g1	6	20	GAG/POL/ENV polyprotein	AT1G42190
TR57658|c0_g1	2	20	GAG/POL/ENV polyprotein	AT1G42190
TR77083|c0_g2	6	20	GAG/POL/ENV polyprotein	AT1G42190
