transcript	cluster	ortho	annota	Atid
TR32807|c2_g2	4	0	Protein kinase superfamily protein	AT1G25390
TR47248|c10_g2	2	0	Protein kinase superfamily protein	AT1G25390
TR47248|c4_g2	1	0	Protein kinase superfamily protein	AT1G25390
TR37817|c0_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR58698|c3_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR8470|c6_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR20675|c1_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR50348|c1_g1	1	0	Protein kinase superfamily protein	AT1G25390
TR2447|c6_g2	1	0	Protein kinase superfamily protein	AT1G25390
TR8470|c5_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR18454|c0_g4	2	0	Protein kinase superfamily protein	AT1G25390
TR4920|c1_g1	4	0	Protein kinase superfamily protein	AT1G25390
TR5369|c0_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR4811|c3_g1	6	0	Protein kinase superfamily protein	AT1G25390
TR42100|c0_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR47248|c4_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR53882|c0_g1	3	0	Protein kinase superfamily protein	AT1G25390
TR9069|c2_g2	2	0	Protein kinase superfamily protein	AT1G25390
TR38146|c0_g1	2	0	Protein kinase superfamily protein	AT1G25390
TR43244|c0_g1	5	0	Protein kinase superfamily protein	AT1G25390
TR532|c10_g5	3	0	Protein kinase superfamily protein	AT1G25390
TR3650|c1_g3	1	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR13513|c8_g1	5	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR60051|c3_g1	5	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR27756|c0_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR11110|c0_g2	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR50903|c0_g1	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR50049|c7_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR39519|c2_g2	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR48552|c0_g1	6	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR29317|c1_g2	5	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR10809|c1_g1	6	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR27283|c0_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR60051|c2_g2	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR13513|c8_g2	6	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR60051|c5_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR21613|c6_g1	5	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR32356|c0_g1	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR53970|c1_g1	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR53970|c1_g2	6	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR14890|c1_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR19866|c4_g1	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR27851|c2_g3	5	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR44662|c0_g1	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR61011|c2_g1	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR14890|c1_g2	4	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR25259|c13_g1	3	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR31242|c6_g3	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR34101|c0_g3	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR13513|c9_g1	1	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR13492|c0_g1	6	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR37787|c4_g2	4	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR39547|c2_g3	5	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR37844|c3_g2	2	1	"cytochrome P450, family 76, subfamily C, polypeptide 5"	AT1G33730
TR32834|c3_g3	6	2	myb domain protein 97	AT4G26930
TR28436|c0_g2	2	2	myb domain protein 97	AT4G26930
TR55772|c3_g1	2	2	myb domain protein 97	AT4G26930
TR32816|c3_g2	4	2	myb domain protein 97	AT4G26930
TR24497|c0_g1	4	2	myb domain protein 97	AT4G26930
TR27311|c0_g2	2	2	myb domain protein 97	AT4G26930
TR39406|c7_g1	2	2	myb domain protein 97	AT4G26930
TR58032|c9_g2	2	2	myb domain protein 97	AT4G26930
TR19238|c2_g1	2	2	myb domain protein 97	AT4G26930
TR1078|c0_g1	4	2	myb domain protein 97	AT4G26930
TR38853|c1_g1	1	2	myb domain protein 97	AT4G26930
TR55783|c3_g2	6	2	myb domain protein 97	AT4G26930
TR18143|c9_g1	2	2	myb domain protein 97	AT4G26930
TR23157|c0_g2	5	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR58015|c8_g2	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR4789|c3_g2	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR54755|c5_g2	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR7865|c2_g3	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR54155|c1_g1	5	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR50051|c0_g2	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR35091|c1_g1	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR31190|c0_g1	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR46150|c1_g2	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR23111|c0_g2	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR32796|c1_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR31437|c7_g1	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR60022|c1_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR35039|c3_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR60773|c0_g1	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR24160|c0_g1	2	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR5358|c1_g2	2	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR54698|c2_g1	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR39396|c0_g1	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR13268|c1_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR3859|c1_g1	2	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR29300|c0_g1	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR59151|c0_g2	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR48242|c2_g1	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR4927|c0_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR56576|c12_g1	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR43043|c0_g2	2	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR15851|c8_g1	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR7862|c0_g1	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR50025|c2_g2	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR32796|c1_g2	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR18461|c2_g1	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR15864|c1_g2	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR4927|c1_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR11288|c0_g1	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR18461|c1_g2	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR58691|c8_g1	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR43043|c0_g1	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR37835|c4_g2	1	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR39588|c7_g3	4	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR59151|c0_g1	6	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR32796|c0_g2	3	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR47221|c2_g3	2	3	Leucine-rich receptor-like protein kinase family protein	AT4G36180
TR39802|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR7416|c0_g1	1	4	mitochondrial editing factor  22	AT3G12770
TR27006|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR32312|c2_g1	1	4	mitochondrial editing factor  22	AT3G12770
TR23168|c3_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR32312|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR33229|c10_g3	4	4	mitochondrial editing factor  22	AT3G12770
TR42040|c0_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR34046|c15_g2	6	4	mitochondrial editing factor  22	AT3G12770
TR18453|c2_g2	3	4	mitochondrial editing factor  22	AT3G12770
TR25441|c0_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR4367|c8_g1	2	4	mitochondrial editing factor  22	AT3G12770
TR55873|c0_g1	2	4	mitochondrial editing factor  22	AT3G12770
TR22115|c3_g1	5	4	mitochondrial editing factor  22	AT3G12770
TR37083|c1_g1	1	4	mitochondrial editing factor  22	AT3G12770
TR25392|c1_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR40364|c1_g2	3	4	mitochondrial editing factor  22	AT3G12770
TR27242|c0_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR5322|c0_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR34048|c2_g1	4	4	mitochondrial editing factor  22	AT3G12770
TR7416|c0_g2	3	4	mitochondrial editing factor  22	AT3G12770
TR14574|c1_g1	1	4	mitochondrial editing factor  22	AT3G12770
TR25434|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR33806|c0_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR27843|c1_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR10001|c2_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR39417|c4_g2	5	4	mitochondrial editing factor  22	AT3G12770
TR32215|c1_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR25438|c1_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR60830|c1_g3	3	4	mitochondrial editing factor  22	AT3G12770
TR23235|c2_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR7886|c7_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR14823|c1_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR39498|c1_g3	1	4	mitochondrial editing factor  22	AT3G12770
TR40355|c2_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR60833|c2_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR17515|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR46668|c1_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR42040|c1_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR32800|c3_g1	1	4	mitochondrial editing factor  22	AT3G12770
TR4367|c6_g2	3	4	mitochondrial editing factor  22	AT3G12770
TR31197|c8_g3	3	4	mitochondrial editing factor  22	AT3G12770
TR25842|c0_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR21569|c3_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR25885|c6_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR24602|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR42039|c0_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR9624|c0_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR35523|c0_g1	5	4	mitochondrial editing factor  22	AT3G12770
TR35084|c0_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR22334|c1_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR49816|c5_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR42066|c2_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR14822|c2_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR32338|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR23453|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR4529|c0_g1	5	4	mitochondrial editing factor  22	AT3G12770
TR49823|c0_g1	1	4	mitochondrial editing factor  22	AT3G12770
TR22115|c2_g1	1	4	mitochondrial editing factor  22	AT3G12770
TR4898|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR31988|c0_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR32297|c7_g1	2	4	mitochondrial editing factor  22	AT3G12770
TR14822|c3_g1	3	4	mitochondrial editing factor  22	AT3G12770
TR24588|c11_g1	6	4	mitochondrial editing factor  22	AT3G12770
TR40313|c4_g1	4	5	Protein kinase superfamily protein	AT4G21366
TR55774|c0_g1	3	5	Protein kinase superfamily protein	AT4G21366
TR16934|c0_g1	6	5	Protein kinase superfamily protein	AT4G21366
TR22106|c2_g2	2	5	Protein kinase superfamily protein	AT4G21366
TR39849|c7_g1	5	5	Protein kinase superfamily protein	AT4G21366
TR17459|c2_g2	3	5	Protein kinase superfamily protein	AT4G21366
TR17892|c3_g2	3	5	Protein kinase superfamily protein	AT4G21366
TR23097|c4_g1	3	5	Protein kinase superfamily protein	AT4G21366
TR8129|c0_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR31398|c3_g2	1	5	Protein kinase superfamily protein	AT4G21366
TR58640|c1_g1	6	5	Protein kinase superfamily protein	AT4G21366
TR55792|c2_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR38954|c0_g1	3	5	Protein kinase superfamily protein	AT4G21366
TR61153|c0_g1	1	5	Protein kinase superfamily protein	AT4G21366
TR37940|c2_g1	6	5	Protein kinase superfamily protein	AT4G21366
TR42914|c0_g2	6	5	Protein kinase superfamily protein	AT4G21366
TR22147|c0_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR15696|c4_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR22147|c1_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR31192|c0_g1	4	5	Protein kinase superfamily protein	AT4G21366
TR16975|c4_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR51957|c0_g1	1	5	Protein kinase superfamily protein	AT4G21366
TR54701|c3_g1	2	5	Protein kinase superfamily protein	AT4G21366
TR25899|c3_g1	3	6	xylem serine peptidase 1	AT4G00230
TR61140|c2_g1	2	6	xylem serine peptidase 1	AT4G00230
TR47200|c7_g1	4	6	xylem serine peptidase 1	AT4G00230
TR17878|c0_g1	4	6	xylem serine peptidase 1	AT4G00230
TR8584|c5_g1	6	6	xylem serine peptidase 1	AT4G00230
TR27840|c7_g1	6	6	xylem serine peptidase 1	AT4G00230
TR32813|c4_g1	3	6	xylem serine peptidase 1	AT4G00230
TR8926|c0_g1	4	6	xylem serine peptidase 1	AT4G00230
TR17457|c12_g1	4	6	xylem serine peptidase 1	AT4G00230
TR19837|c1_g1	1	6	xylem serine peptidase 1	AT4G00230
TR9968|c3_g2	3	6	xylem serine peptidase 1	AT4G00230
TR39827|c11_g1	2	6	xylem serine peptidase 1	AT4G00230
TR44010|c1_g2	4	6	xylem serine peptidase 1	AT4G00230
TR8320|c1_g1	6	6	xylem serine peptidase 1	AT4G00230
TR23950|c2_g1	3	6	xylem serine peptidase 1	AT4G00230
TR3854|c6_g1	4	6	xylem serine peptidase 1	AT4G00230
TR31987|c0_g1	5	7	Major facilitator superfamily protein	AT5G62730
TR56520|c2_g1	4	7	Major facilitator superfamily protein	AT5G62730
TR32117|c1_g1	2	7	Major facilitator superfamily protein	AT5G62730
TR57948|c8_g2	6	7	Major facilitator superfamily protein	AT5G62730
TR51970|c2_g1	1	7	Major facilitator superfamily protein	AT5G62730
TR3720|c2_g1	3	7	Major facilitator superfamily protein	AT5G62730
TR8481|c10_g2	2	7	Major facilitator superfamily protein	AT5G62730
TR27182|c1_g1	4	7	Major facilitator superfamily protein	AT5G62730
TR34133|c7_g7	1	7	Major facilitator superfamily protein	AT5G62730
TR60788|c6_g2	2	7	Major facilitator superfamily protein	AT5G62730
TR57948|c8_g1	2	7	Major facilitator superfamily protein	AT5G62730
TR51269|c2_g1	6	7	Major facilitator superfamily protein	AT5G62730
TR31232|c0_g1	4	7	Major facilitator superfamily protein	AT5G62730
TR27085|c15_g1	1	7	Major facilitator superfamily protein	AT5G62730
TR27085|c14_g1	2	7	Major facilitator superfamily protein	AT5G62730
TR23109|c3_g2	4	7	Major facilitator superfamily protein	AT5G62730
TR3720|c0_g1	6	7	Major facilitator superfamily protein	AT5G62730
TR51345|c2_g1	1	7	Major facilitator superfamily protein	AT5G62730
TR19274|c3_g2	6	7	Major facilitator superfamily protein	AT5G62730
TR56065|c0_g1	6	9	NB-ARC domain-containing disease resistance protein	AT1G50180
TR8783|c0_g1	4	9	NB-ARC domain-containing disease resistance protein	AT1G50180
TR49267|c3_g2	2	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR5579|c3_g1	3	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR50326|c13_g1	3	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR17911|c4_g2	1	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR28419|c0_g1	2	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR34045|c2_g1	3	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR28419|c1_g1	6	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR41773|c1_g1	6	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR23438|c0_g1	2	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR60066|c2_g1	5	10	Eukaryotic aspartyl protease family protein	AT4G33490
TR708|c0_g2	2	11	0	AT3G43480
TR24830|c2_g2	3	11	0	AT3G43480
TR5339|c1_g2	5	11	0	AT3G43480
TR54417|c0_g1	1	11	0	AT3G43480
TR41902|c1_g1	5	11	0	AT3G43480
TR40290|c11_g2	4	11	0	AT3G43480
TR25854|c0_g4	5	11	0	AT3G43480
TR11096|c2_g1	4	11	0	AT3G43480
TR42055|c4_g1	4	11	0	AT3G43480
TR39429|c3_g1	6	11	0	AT3G43480
TR22344|c4_g1	6	11	0	AT3G43480
TR24143|c4_g1	2	11	0	AT3G43480
TR42107|c3_g4	4	11	0	AT3G43480
TR5575|c4_g1	4	11	0	AT3G43480
TR869|c0_g1	2	11	0	AT3G43480
TR24208|c0_g2	5	11	0	AT3G43480
TR10570|c0_g1	6	11	0	AT3G43480
TR19955|c7_g1	6	11	0	AT3G43480
TR23770|c1_g1	1	11	0	AT3G43480
TR48063|c0_g1	6	11	0	AT3G43480
TR24003|c8_g2	5	11	0	AT3G43480
TR24138|c6_g2	6	11	0	AT3G43480
TR15734|c3_g1	1	11	0	AT3G43480
TR45492|c1_g1	4	11	0	AT3G43480
TR39355|c0_g1	4	11	0	AT3G43480
TR25070|c1_g1	3	11	0	AT3G43480
TR41553|c1_g1	4	11	0	AT3G43480
TR5076|c0_g1	4	11	0	AT3G43480
TR12153|c0_g1	4	11	0	AT3G43480
TR32760|c3_g3	6	11	0	AT3G43480
TR14333|c1_g1	4	11	0	AT3G43480
TR20002|c1_g1	4	11	0	AT3G43480
TR10017|c3_g1	6	11	0	AT3G43480
TR18609|c1_g1	6	11	0	AT3G43480
TR53906|c2_g1	6	11	0	AT3G43480
TR11117|c0_g1	5	11	0	AT3G43480
TR52879|c0_g1	4	11	0	AT3G43480
TR38748|c0_g3	6	11	0	AT3G43480
TR30954|c0_g1	6	11	0	AT3G43480
TR31460|c10_g1	6	11	0	AT3G43480
TR5646|c8_g3	3	11	0	AT3G43480
TR13485|c2_g1	6	11	0	AT3G43480
TR43022|c0_g1	2	11	0	AT3G43480
TR52480|c1_g1	4	11	0	AT3G43480
TR57951|c3_g3	6	11	0	AT3G43480
TR20691|c3_g1	2	11	0	AT3G43480
TR5935|c0_g1	3	11	0	AT3G43480
TR14605|c2_g2	6	11	0	AT3G43480
TR20933|c1_g1	6	11	0	AT3G43480
TR3277|c1_g1	5	11	0	AT3G43480
TR27381|c0_g1	2	11	0	AT3G43480
TR37777|c4_g1	5	11	0	AT3G43480
TR32416|c1_g1	3	11	0	AT3G43480
TR35012|c0_g1	4	11	0	AT3G43480
TR16069|c0_g1	2	12	wall associated kinase-like 2	AT1G16130
TR24567|c3_g4	2	12	wall associated kinase-like 2	AT1G16130
TR7419|c0_g1	2	12	wall associated kinase-like 2	AT1G16130
TR18339|c1_g1	4	12	wall associated kinase-like 2	AT1G16130
TR18102|c0_g1	3	12	wall associated kinase-like 2	AT1G16130
TR21504|c0_g1	1	12	wall associated kinase-like 2	AT1G16130
TR35090|c4_g1	1	12	wall associated kinase-like 2	AT1G16130
TR37846|c7_g1	3	13	0	AT5G37550
TR27806|c9_g1	2	14	NB-ARC domain-containing disease resistance protein	AT3G14470
TR43521|c0_g3	2	15	receptor like protein 46	AT4G04220
TR17886|c2_g3	3	15	receptor like protein 46	AT4G04220
TR32250|c0_g1	2	17	5'-AMP-activated protein kinase-related	AT5G03420
TR10032|c0_g1	3	18	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	AT2G17970
TR59175|c0_g1	5	18	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	AT2G17970
TR52397|c0_g1	6	18	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	AT2G17970
TR17126|c2_g1	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR55773|c4_g1	1	20	GAG/POL/ENV polyprotein	AT1G42190
TR47140|c1_g1	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR25885|c1_g1	1	20	GAG/POL/ENV polyprotein	AT1G42190
TR13504|c4_g1	2	20	GAG/POL/ENV polyprotein	AT1G42190
TR29330|c6_g4	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR37203|c0_g1	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR29321|c1_g1	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR17728|c1_g1	6	20	GAG/POL/ENV polyprotein	AT1G42190
TR41424|c1_g1	2	20	GAG/POL/ENV polyprotein	AT1G42190
TR462|c8_g1	4	20	GAG/POL/ENV polyprotein	AT1G42190
TR27221|c5_g1	2	20	GAG/POL/ENV polyprotein	AT1G42190
TR22168|c4_g1	4	20	GAG/POL/ENV polyprotein	AT1G42190
TR52340|c4_g1	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR13670|c0_g2	2	20	GAG/POL/ENV polyprotein	AT1G42190
TR17856|c6_g1	6	20	GAG/POL/ENV polyprotein	AT1G42190
TR49829|c1_g1	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR56534|c0_g1	4	20	GAG/POL/ENV polyprotein	AT1G42190
TR54667|c2_g1	1	20	GAG/POL/ENV polyprotein	AT1G42190
TR43845|c1_g1	6	20	GAG/POL/ENV polyprotein	AT1G42190
TR48993|c12_g1	6	20	GAG/POL/ENV polyprotein	AT1G42190
TR37041|c14_g1	4	20	GAG/POL/ENV polyprotein	AT1G42190
TR37073|c13_g5	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR44366|c0_g2	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR18150|c4_g1	2	20	GAG/POL/ENV polyprotein	AT1G42190
TR40470|c0_g1	4	20	GAG/POL/ENV polyprotein	AT1G42190
TR28446|c3_g1	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR18290|c3_g2	6	20	GAG/POL/ENV polyprotein	AT1G42190
TR50015|c4_g2	2	20	GAG/POL/ENV polyprotein	AT1G42190
TR59723|c1_g1	4	20	GAG/POL/ENV polyprotein	AT1G42190
TR10028|c3_g1	3	20	GAG/POL/ENV polyprotein	AT1G42190
TR37041|c13_g2	4	20	GAG/POL/ENV polyprotein	AT1G42190
TR27099|c4_g1	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR32269|c2_g1	5	20	GAG/POL/ENV polyprotein	AT1G42190
TR49039|c0_g1	2	20	GAG/POL/ENV polyprotein	AT1G42190
TR21600|c1_g3	6	20	GAG/POL/ENV polyprotein	AT1G42190
TR42365|c3_g1	4	20	GAG/POL/ENV polyprotein	AT1G42190
TR23659|c1_g1	6	20	GAG/POL/ENV polyprotein	AT1G42190
TR25860|c1_g1	4	20	GAG/POL/ENV polyprotein	AT1G42190
